id,name,ticker,price,market_cap
1,Bitcoin,BTC,"$871,104,458,298","$46,733.17"
2,Ethereum,ETH,"$169,220,984,711","$1,473.53"
3,Cardano,ADA,"$43,158,243,501",$1.39
4,Binance Coin,BNB,"$35,292,515,057",$228.38
5,Tether,USDT,"$34,977,976,735",$0.9999
6,Polkadot,DOT,"$30,788,240,541",$33.70
7,XRP,XRP,"$19,822,729,564",$0.4366
8,Litecoin,LTC,"$11,534,724,176",$173.31
9,Chainlink,LINK,"$10,387,730,701",$25.34
10,Bitcoin Cash,BCH,"$9,105,339,443",$487.81
11,Stellar,XLM,"$9,102,861,440",$0.4042
12,USD Coin,USDC,"$8,625,517,947",$1.0000
13,Uniswap,UNI,"$7,406,261,320",$23.76
14,Dogecoin,DOGE,"$6,440,917,253",$0.05010
15,Wrapped Bitcoin,WBTC,"$5,761,831,401","$46,684.65"
16,NEM,XEM,"$4,770,667,848",$0.5301
17,Aave,AAVE,"$4,159,477,227",$335.01
18,Cosmos,ATOM,"$4,029,732,940",$19.10
19,Monero,XMR,"$3,884,328,442",$217.61
20,Crypto.com Coin,CRO,"$3,644,812,761",$0.1510
21,Solana,SOL,"$3,589,543,255",$13.71
22,EOS,EOS,"$3,476,238,489",$3.66
23,Bitcoin SV,BSV,"$3,417,804,760",$183.12
24,TRON,TRX,"$3,301,036,804",$0.04607
25,Huobi Token,HT,"$3,170,514,962",$16.97
26,IOTA,MIOTA,"$3,159,045,305",$1.14
27,THETA,THETA,"$3,125,517,560",$3.13
28,Tezos,XTZ,"$2,691,734,987",$3.54
29,Neo,NEO,"$2,678,453,473",$37.97
30,VeChain,VET,"$2,673,866,331",$0.04157
31,FTX Token,FTT,"$2,651,231,558",$28.10
32,Terra,LUNA,"$2,417,658,301",$5.86
33,Elrond,EGLD,"$2,328,561,095",$136.76
34,Binance USD,BUSD,"$2,315,165,744",$0.9997
35,Dai,DAI,"$2,313,935,125",$1.00
36,Synthetix,SNX,"$2,186,674,203",$19.04
37,The Graph,GRT,"$2,162,982,509",$1.74
38,Dash,DASH,"$2,160,669,270",$216.08
39,UNUS SED LEO,LEO,"$2,044,219,708",$2.05
40,Avalanche,AVAX,"$2,034,014,561",$26.44
41,SushiSwap,SUSHI,"$2,024,422,446",$15.91
42,Algorand,ALGO,"$2,016,302,318",$0.9984
43,Filecoin,FIL,"$1,988,626,059",$36.01
44,Maker,MKR,"$1,985,680,627","$1,995.18"
45,Kusama,KSM,"$1,943,126,925",$229.41
46,Compound,COMP,"$1,906,572,136",$411.31
47,Decred,DCR,"$1,709,128,595",$135.12
48,PancakeSwap,CAKE,"$1,390,646,878",$11.37
49,Voyager Token,VGX,"$1,371,994,646",$6.17
50,Zcash,ZEC,"$1,346,404,183",$119.98
