id,name,ticker
1,Bitcoin,BTC
2,Ethereum,ETH
3,Binance Coin,BNB
4,Polkadot,DOT
5,Cardano,ADA
6,Tether,USDT
7,XRP,XRP
8,Litecoin,LTC
9,Chainlink,LINK
10,Bitcoin Cash,BCH
11,Stellar,XLM
12,Uniswap,UNI
13,USD Coin,USDC
14,Dogecoin,DOGE
15,Wrapped Bitcoin,WBTC
16,Aave,AAVE
17,Cosmos,ATOM
18,EOS,EOS
19,NEM,XEM
20,Monero,XMR
21,Bitcoin SV,BSV
22,TRON,TRX
23,Huobi Token,HT
24,IOTA,MIOTA
25,VeChain,VET
26,Tezos,XTZ
27,THETA,THETA
28,Crypto.com Coin,CRO
29,Neo,NEO
30,The Graph,GRT
31,Dash,DASH
32,FTX Token,FTT
33,Avalanche,AVAX
34,Synthetix,SNX
35,Maker,MKR
36,Solana,SOL
37,Terra,LUNA
38,Algorand,ALGO
39,SushiSwap,SUSHI
40,Elrond,EGLD
41,Filecoin,FIL
42,Dai,DAI
43,Compound,COMP
44,Binance USD,BUSD
45,Kusama,KSM
46,Ravencoin,RVN
47,Zcash,ZEC
